,0
0,-0.06897365591397864
1,-0.07542526881720457
2,-0.08187688172043028
3,-0.088328494623656
4,-0.08187688172043028
5,-0.0721994623655915
6,-0.06897365591397864
7,-0.0721994623655915
8,-0.07865107526881743
9,-0.09800591397849479
10,-0.12058655913978522
11,-0.13671559139784972
12,-0.12703817204301093
13,-0.11090913978494643
14,-0.09800591397849479
15,-0.08510268817204314
16,-0.0721994623655915
17,-0.06897365591397864
18,-0.07542526881720457
19,-0.08510268817204314
20,-0.08510268817204314
21,-0.07542526881720457
22,-0.06574784946236578
23,-0.06252204301075293
24,-0.06574784946236578
25,-0.06897365591397864
26,-0.08510268817204314
27,-0.10445752688172072
28,-0.11736075268817214
29,-0.10445752688172072
30,-0.08187688172043028
31,-0.06897365591397864
32,-0.05607043010752699
33,-0.04961881720430128
34,-0.052844623655914136
35,-0.05929623655914007
36,-0.06574784946236578
37,-0.05929623655914007
38,-0.052844623655914136
39,-0.04961881720430128
40,-0.052844623655914136
41,-0.05607043010752699
42,-0.06897365591397864
43,-0.088328494623656
44,-0.11090913978494643
45,-0.11413494623655929
46,-0.10123172043010764
47,-0.08510268817204314
48,-0.0721994623655915
49,-0.06574784946236578
50,-0.06574784946236578
51,-0.0721994623655915
52,-0.08510268817204314
53,-0.09478010752688193
54,-0.088328494623656
55,-0.08187688172043028
56,-0.08187688172043028
57,-0.088328494623656
58,-0.09478010752688193
59,-0.11090913978494643
60,-0.13348978494623664
61,-0.14961881720430115
62,-0.14316720430107543
63,-0.1302639784946238
64,-0.11413494623655929
65,-0.10445752688172072
66,-0.09800591397849479
67,-0.09800591397849479
68,-0.10445752688172072
69,-0.12058655913978522
70,-0.12703817204301093
71,-0.12058655913978522
72,-0.11413494623655929
73,-0.11413494623655929
74,-0.11736075268817214
75,-0.12703817204301093
76,-0.13994139784946258
77,-0.1625220430107528
78,-0.17219946236559158
79,-0.15929623655913994
80,-0.14316720430107543
81,-0.12703817204301093
82,-0.11736075268817214
83,-0.10768333333333358
84,-0.11090913978494643
85,-0.11736075268817214
86,-0.12703817204301093
87,-0.12058655913978522
88,-0.11413494623655929
89,-0.10768333333333358
90,-0.11090913978494643
91,-0.11736075268817214
92,-0.12703817204301093
93,-0.1463930107526883
94,-0.16897365591397873
95,-0.16897365591397873
96,-0.15284462365591422
97,-0.13671559139784972
98,-0.12058655913978522
99,-0.11090913978494643
100,-0.10445752688172072
101,-0.10445752688172072
102,-0.11090913978494643
103,-0.12058655913978522
104,-0.11090913978494643
105,-0.10123172043010764
106,-0.09800591397849479
107,-0.10123172043010764
108,-0.10445752688172072
109,-0.11736075268817214
110,-0.13994139784946258
111,-0.15607043010752708
112,-0.14961881720430115
113,-0.1302639784946238
114,-0.11413494623655929
115,-0.10445752688172072
116,-0.09155430107526907
117,-0.088328494623656
118,-0.09478010752688193
119,-0.10123172043010764
120,-0.10123172043010764
121,-0.09155430107526907
122,-0.08510268817204314
123,-0.08510268817204314
124,-0.088328494623656
125,-0.09800591397849479
126,-0.11413494623655929
127,-0.13671559139784972
128,-0.14316720430107543
129,-0.13348978494623664
130,-0.11413494623655929
131,-0.10123172043010764
132,-0.09155430107526907
133,-0.08187688172043028
134,-0.08510268817204314
135,-0.09478010752688193
136,-0.10123172043010764
137,-0.09800591397849479
138,-0.088328494623656
139,-0.08510268817204314
140,-0.08187688172043028
141,-0.08187688172043028
142,-0.088328494623656
143,-0.09800591397849479
144,-0.11413494623655929
145,-0.10445752688172072
146,-0.08187688172043028
147,-0.052844623655914136
148,-0.023812365591397988
149,-0.0012317204301077744
150,0.018123118279569805
151,0.024574731182795517
152,0.024574731182795517
153,0.03102634408602123
154,0.05038118279569881
155,0.07296182795698902
156,0.08586505376344067
157,0.08909086021505352
158,0.08586505376344067
159,0.06328440860215045
160,0.027800537634408373
161,-0.0012317204301077744
162,-0.007683333333333486
163,-0.00445752688172063
164,-0.0012317204301077744
165,0.0019940860215053036
166,0.0052198924731181595
167,-0.0012317204301077744
168,-0.01413494623655942
169,-0.027038172043010844
170,-0.030263978494623922
171,-0.020586559139785132
172,-0.010909139784946342
173,-0.01413494623655942
174,-0.020586559139785132
175,-0.03994139784946249
176,-0.0721994623655915
177,-0.11413494623655929
178,-0.14316720430107543
179,-0.15284462365591422
180,-0.15607043010752708
181,-0.15929623655913994
182,-0.15929623655913994
183,-0.15929623655913994
184,-0.17219946236559158
185,-0.18832849462365608
186,-0.20445752688172059
187,-0.21090913978494652
188,-0.21736075268817223
189,-0.23026397849462388
190,-0.2528446236559141
191,-0.2786510752688174
192,-0.3044575268817207
193,-0.33026397849462374
194,-0.35607043010752704
195,-0.3592962365591399
196,-0.33994139784946253
197,-0.3205865591397852
198,-0.30768333333333353
199,-0.2947801075268819
200,-0.2851026881720431
201,-0.2851026881720431
202,-0.2883284946236562
203,-0.2851026881720431
204,-0.27219946236559167
205,-0.2528446236559141
206,-0.24316720430107552
207,-0.23994139784946245
208,-0.23994139784946245
209,-0.24316720430107552
210,-0.25607043010752717
211,-0.2625220430107529
212,-0.24316720430107552
213,-0.21413494623655938
214,-0.18832849462365608
215,-0.16574784946236587
216,-0.1463930107526883
217,-0.13994139784946258
218,-0.13348978494623664
219,-0.13348978494623664
220,-0.11736075268817214
221,-0.09478010752688193
222,-0.07865107526881743
223,-0.06897365591397864
224,-0.06574784946236578
225,-0.06897365591397864
226,-0.08187688172043028
227,-0.10123172043010764
228,-0.09800591397849479
229,-0.07865107526881743
230,-0.05929623655914007
231,-0.043167204301075346
232,-0.027038172043010844
233,-0.020586559139785132
234,-0.017360752688172276
235,-0.023812365591397988
236,-0.030263978494623922
237,-0.020586559139785132
238,-0.007683333333333486
239,-0.0012317204301077744
240,-0.00445752688172063
241,-0.007683333333333486
242,-0.023812365591397988
243,-0.03994139784946249
244,-0.05607043010752699
245,-0.052844623655914136
246,-0.03348978494623678
247,-0.010909139784946342
248,0.0019940860215053036
249,0.011671505376343871
250,0.018123118279569805
251,0.014897311827956727
252,0.0052198924731181595
253,0.0052198924731181595
254,0.011671505376343871
255,0.02134892473118266
256,0.024574731182795517
257,0.018123118279569805
258,0.011671505376343871
259,-0.00445752688172063
260,-0.023812365591397988
261,-0.03994139784946249
262,-0.030263978494623922
263,-0.010909139784946342
264,0.0052198924731181595
265,0.02134892473118266
266,0.03102634408602123
267,0.03102634408602123
268,0.02134892473118266
269,0.011671505376343871
270,0.014897311827956727
271,0.024574731182795517
272,0.027800537634408373
273,0.024574731182795517
274,0.018123118279569805
275,0.008445698924731015
276,-0.01413494623655942
277,-0.03994139784946249
278,-0.043167204301075346
279,-0.027038172043010844
280,-0.007683333333333486
281,0.008445698924731015
282,0.02134892473118266
283,0.027800537634408373
284,0.027800537634408373
285,0.02134892473118266
286,0.014897311827956727
287,0.02134892473118266
288,0.03425215053763431
289,0.04070376344086002
290,0.04070376344086002
291,0.03747795698924716
292,0.024574731182795517
293,0.0052198924731181595
294,-0.010909139784946342
295,-0.00445752688172063
296,0.014897311827956727
297,0.03102634408602123
298,0.043929569892472875
299,0.05683279569892452
300,0.06005860215053738
301,0.05683279569892452
302,0.04715537634408573
303,0.04715537634408573
304,0.05683279569892452
305,0.06973602150537617
306,0.07296182795698902
307,0.06973602150537617
308,0.06005860215053738
309,0.043929569892472875
310,0.024574731182795517
311,0.014897311827956727
312,0.03102634408602123
313,0.053606989247311665
314,0.07296182795698902
315,0.08909086021505352
316,0.10199408602150517
317,0.10199408602150517
318,0.09876827956989231
319,0.09231666666666638
320,0.09876827956989231
321,0.11167150537634396
322,0.12134892473118253
323,0.12134892473118253
324,0.11812311827956967
325,0.1084456989247311
326,0.08909086021505352
327,0.06973602150537617
328,0.06973602150537617
329,0.08586505376344067
330,0.11167150537634396
331,0.12780053763440846
332,0.1407037634408601
333,0.14392956989247296
334,0.14392956989247296
335,0.13747795698924703
336,0.13102634408602132
337,0.13747795698924703
338,0.15038118279569868
339,0.15038118279569868
340,0.14715537634408582
341,0.13747795698924703
342,0.11812311827956967
343,0.09554247311827946
344,0.07296182795698902
345,0.07941344086021496
346,0.09231666666666638
347,0.10521989247311803
348,0.11489731182795682
349,0.12134892473118253
350,0.11812311827956967
351,0.10521989247311803
352,0.08909086021505352
353,0.08263924731182781
354,0.08909086021505352
355,0.09231666666666638
356,0.08586505376344067
357,0.07618763440860188
358,0.06651021505376331
359,0.043929569892472875
360,0.018123118279569805
361,0.0019940860215053036
362,0.008445698924731015
363,0.027800537634408373
364,0.04070376344086002
365,0.04715537634408573
366,0.05038118279569881
367,0.043929569892472875
368,0.03102634408602123
369,0.018123118279569805
370,0.02134892473118266
371,0.027800537634408373
372,0.027800537634408373
373,0.024574731182795517
374,0.018123118279569805
