0;520
1;519
2;520
3;522
4;523
5;522
6;520
7;518
8;515
9;514
10;515
11;518
12;521
13;523
14;525
15;525
0;524
1;522
2;522
3;523
4;525
5;524
6;523
7;521
8;519
9;516
10;515
11;517
12;520
13;523
14;525
15;526
0;525
1;524
2;522
3;522
4;524
5;525
6;524
7;523
8;521
9;519
10;516
11;516
12;519
13;522
14;524
15;525
0;526
1;525
2;524
3;524
4;524
5;526
6;526
7;526
8;524
9;521
10;519
11;516
12;517
13;520
14;523
15;525
0;526
1;527
2;526
3;524
4;524
5;526
6;527
7;527
8;526
9;525
10;522
11;519
12;518
13;520
14;524
15;527
0;528
1;529
2;529
3;528
4;527
5;527
6;529
7;530
8;529
9;529
10;527
11;524
12;521
13;521
14;523
15;527
0;529
1;530
2;531
3;530
4;529
5;528
6;530
7;532
8;532
9;532
10;531
11;529
12;526
13;524
14;525
15;528
0;530
1;532
2;534
3;534
4;532
5;530
6;530
7;531
8;532
9;532
10;531
11;529
12;527
13;523
14;522
15;524
0;526
1;529
2;530
3;530
4;529
5;527
6;525
7;525
8;527
9;527
10;526
11;524
12;521
13;517
14;514
15;513
0;517
1;519
2;521
3;521
4;520
5;519
6;516
7;515
8;514
9;514
10;514
11;512
12;510
13;506
14;502
15;499
0;498
1;501
2;503
3;504
4;504
5;504
6;502
7;499
8;498
9;499
10;499
11;497
12;496
13;493
14;489
15;486
0;484
1;486
2;488
3;489
4;491
5;491
6;489
7;487
8;486
9;487
10;489
11;489
12;488
13;486
14;483
15;480
0;477
1;477
2;480
3;483
4;486
5;487
6;487
7;485
8;484
9;483
10;484
11;485
12;486
13;485
14;484
15;481
0;479
1;476
2;478
3;481
4;484
5;486
6;487
7;487
8;485
9;484
10;484
11;486
12;488
13;487
14;487
15;484
0;482
1;479
2;477
3;480
4;483
5;486
6;487
7;487
8;487
9;487
10;486
11;487
12;488
13;489
14;489
15;487
0;486
1;483
2;482
3;482
4;485
5;487
6;489
7;490
8;491
9;489
10;487
11;487
12;488
13;490
14;490
15;489
0;488
1;485
2;483
3;481
4;482
5;485
6;488
7;490
8;491
9;492
10;491
11;490
12;490
13;491
14;493
15;494
0;492
1;491
2;488
3;486
4;485
5;488
6;492
7;495
8;497
9;497
10;497
11;496
12;495
13;495
14;497
15;499
0;499
1;497
2;496
3;493
4;490
5;490
6;493
7;496
8;498
9;500
10;500
11;499
12;497
13;496
14;497
15;499
0;499
1;498
2;498
3;496
4;494
5;492
6;494
7;497
8;500
9;502
10;503
11;503
12;502
13;502
14;502
15;504
0;504
1;503
2;502
3;500
4;497
5;495
6;493
7;496
8;499
9;502
10;503
11;504
12;503
13;502
14;501
15;502
0;503
1;504
2;504
3;503
4;501
5;498
6;495
7;496
8;499
9;502
10;503
11;505
12;505
13;504
